Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
79842432.0,0.0978349452799743,60.13,84.27,6.0,6.0,2.0,3.0,3.0,4.0,1.0,7.0,7.0,5.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,7.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,5.0,5.0,3.0,5.0,6.0,4.0,1.0,7.0,5.0,7.0,1.0,5.0,1.0,4.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0
81213824.0,0.09951538083180463,60.96,84.59,2.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,3.0,4.0,4.0,6.0,3.0,6.0,6.0,4.0,6.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,5.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,5.0,1.0,1.0,3.0
79481216.0,0.09739232915833297,63.68,85.66,2.0,1.0,1.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,6.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0,3.0,4.0,1.0,1.0,3.0,4.0,6.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0
81388288.0,0.09972916034059169,63.78,86.21,4.0,1.0,8.0,6.0,8.0,3.0,2.0,1.0,3.0,8.0,3.0,5.0,5.0,5.0,5.0,8.0,6.0,8.0,2.0,4.0,3.0,1.0,1.0,6.0,1.0,3.0,1.0,5.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,4.0,1.0,6.0,5.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,2.0,5.0,6.0,1.0,7.0,2.0,6.0,2.0
81588992.0,0.09997509304035555,57.41,81.48,4.0,3.0,3.0,5.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,8.0,2.0,1.0,7.0,2.0,4.0,7.0,4.0,2.0,4.0,7.0,5.0,7.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,7.0,2.0,1.0,3.0,6.0,1.0,6.0,1.0,5.0,7.0,1.0,5.0,5.0,1.0,8.0,6.0,5.0,1.0
81543488.0,0.0999193347018568,64.27,86.84,7.0,2.0,5.0,4.0,2.0,7.0,5.0,4.0,3.0,7.0,2.0,1.0,1.0,8.0,8.0,8.0,1.0,4.0,2.0,3.0,2.0,6.0,8.0,8.0,5.0,8.0,6.0,7.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,4.0,7.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,8.0,5.0,6.0,8.0
80807104.0,0.09901700637166454,54.51,78.41,1.0,3.0,2.0,4.0,5.0,4.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,3.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,5.0,5.0,6.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0
81541056.0,0.09991635465001017,74.31,92.44,5.0,1.0,5.0,7.0,6.0,3.0,2.0,7.0,2.0,6.0,6.0,6.0,6.0,6.0,2.0,7.0,1.0,6.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,4.0,6.0,5.0,6.0,2.0,6.0
81160128.0,0.09944958442392775,67.9,89.08,5.0,6.0,3.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,1.0,6.0,2.0,6.0,5.0,6.0,2.0,4.0,6.0,5.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,4.0,6.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,6.0,6.0,4.0,2.0,1.0,5.0,4.0,1.0,2.0,2.0,6.0,1.0,7.0,5.0
80749760.0,0.09894673988601772,43.38,70.62,1.0,7.0,1.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,4.0,2.0,4.0,1.0,5.0,5.0,4.0,1.0,6.0,4.0,2.0,5.0,1.0,1.0,7.0,6.0,1.0,1.0,4.0,6.0,4.0,7.0,3.0,2.0,1.0,2.0,3.0,5.0,1.0,4.0,4.0,6.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,6.0,5.0,2.0
